feature,smd_before,smd_after,abs_smd_before,abs_smd_after
triage_delay_minutes,0.9213223654446567,-0.06911843715494749,0.9213223654446567,0.06911843715494749
Severity_Level,-0.5848595578185664,-0.07267675514188236,0.5848595578185664,0.07267675514188236
Insurance_Type = Private Insurance,-0.5256736326369634,-0.020666959039635707,0.5256736326369634,0.020666959039635707
Insurance_Type = NHS Funded,0.3026849471587886,0.05374187561573911,0.3026849471587886,0.05374187561573911
Insurance_Type = Self-Pay,0.2520056594263316,0.03938790107027943,0.2520056594263316,0.03938790107027943
Dim_Patient.Risk_Category = Medium,-0.1305443853969667,0.007060735714340363,0.1305443853969667,0.007060735714340363
Dim_Patient.Risk_Category = Low,0.11801556789267084,0.01799483464284308,0.11801556789267084,0.01799483464284308
Dim_Patient.Risk_Category = Critical,0.1082583563415965,-0.08014896011540851,0.1082583563415965,0.08014896011540851
Hospital_ID = H09,0.09516204959806497,-0.046147240075393316,0.09516204959806497,0.046147240075393316
Diagnosis_Category = DX11,-0.09275968277569124,0.00939123640211839,0.09275968277569124,0.00939123640211839
Department_ID = D01,0.09007159776682197,0.002336050800897949,0.09007159776682197,0.002336050800897949
Insurance_Type = NHS Continuing Care,-0.08474542980968991,-0.07914574817954163,0.08474542980968991,0.07914574817954163
Department_ID = D04,-0.0711008501787167,-0.0005979741351840101,0.0711008501787167,0.0005979741351840101
Department_ID = D12,0.07034173431003887,-0.006914994744179135,0.07034173431003887,0.006914994744179135
Hospital_ID = H04,-0.05903593236068737,0.008036490577919999,0.05903593236068737,0.008036490577919999
Hospital_ID = H10,0.05767979803620196,0.0048923301708659415,0.05767979803620196,0.0048923301708659415
Dim_Patient.Gender = Non-binary,0.05493085318209392,0.025656778914240463,0.05493085318209392,0.025656778914240463
Department_ID = D02,-0.054702246308250435,0.016774399461863067,0.054702246308250435,0.016774399461863067
Dim_Patient.Hypertension = False,0.04921707713609036,-0.0002331882311036787,0.04921707713609036,0.0002331882311036787
Dim_Patient.Hypertension = True,-0.049217077136090304,0.0002331882311041713,0.049217077136090304,0.0002331882311041713
Hospital_ID = H05,-0.048592176773369855,0.055974743175337495,0.048592176773369855,0.055974743175337495
Dim_Patient.Risk_Category = High,-0.04835406273445974,0.01123581745965734,0.04835406273445974,0.01123581745965734
Dim_Patient.Obesity = True,0.0466058842328685,-0.09451792464902742,0.0466058842328685,0.09451792464902742
Dim_Patient.Obesity = False,-0.0466058842328684,0.09451792464902702,0.0466058842328684,0.09451792464902702
Department_ID = D10,-0.0454982335976362,0.008714934724039853,0.0454982335976362,0.008714934724039853
Diagnosis_Category = DX12,0.045356524263342475,-0.004733483931121951,0.045356524263342475,0.004733483931121951
Diagnosis_Category = DX05,-0.044737950167352,0.02219930905294151,0.044737950167352,0.02219930905294151
Admission_Type = Emergency,0.040788802392627735,0.05257042680219793,0.040788802392627735,0.05257042680219793
Department_ID = D08,-0.038953315942530015,-0.0369103610006677,0.038953315942530015,0.0369103610006677
Dim_Patient.HF = False,0.038852372746841446,-0.03990734547318072,0.038852372746841446,0.03990734547318072
Dim_Patient.HF = True,-0.03885237274684103,0.03990734547318163,0.03885237274684103,0.03990734547318163
Department_ID = D09,0.03602686494948965,0.026139452066828116,0.03602686494948965,0.026139452066828116
Admission_Type = Elective,-0.03575600364338213,-0.04801348481545305,0.03575600364338213,0.04801348481545305
Dim_Patient.CKD = True,-0.032884468655197875,-0.048232101246347255,0.032884468655197875,0.048232101246347255
Dim_Patient.CKD = False,0.03288446865519765,0.048232101246347615,0.03288446865519765,0.048232101246347615
Diagnosis_Category = DX01,0.029804796838524276,0.041073871357732404,0.029804796838524276,0.041073871357732404
Hospital_ID = H03,-0.0261907218361339,0.003195660497292388,0.0261907218361339,0.003195660497292388
Dim_Patient.Gender = Male,-0.025774166059988137,-0.025482873403016942,0.025774166059988137,0.025482873403016942
Department_ID = D05,-0.024865643359798476,-0.020480972424608612,0.024865643359798476,0.020480972424608612
Hospital_ID = H11,-0.023991718448185984,-0.00994619626167818,0.023991718448185984,0.00994619626167818
Diagnosis_Category = DX03,0.023381925868399905,-0.06158062091604668,0.023381925868399905,0.06158062091604668
Dim_Patient.Asthma = False,0.022105861334025305,-0.056017387855965904,0.022105861334025305,0.056017387855965904
Dim_Patient.Asthma = True,-0.02210586133402522,0.05601738785596637,0.02210586133402522,0.05601738785596637
Ambulance_Arrival_Flag = False,-0.022089749388319837,-0.06823251630242086,0.022089749388319837,0.06823251630242086
Ambulance_Arrival_Flag = True,0.022089749388319566,0.06823251630242119,0.022089749388319566,0.06823251630242119
Diagnosis_Category = DX04,-0.021777940432367755,0.0072843262427364965,0.021777940432367755,0.0072843262427364965
